county,State,Population_Estimate,Per_Age_over_65,M_per_100_F,Per_high_school_Degree,Per_Bachelor_Degree,Median_Income,Per_votes_Rep,Party_Gov,Voting_Behaviour
Saline County,MO,23334,0.164,100,0.394,0.188,40101,0.65,Dem,Rep
Schuyler County,MO,4395,0.194,94.5,0.459,0.125,37500,0.78,Dem,Rep
Scotland County,MO,4873,0.185,98.8,0.407,0.148,39772,0.77,Dem,Rep
Scott County,MO,39061,0.165,95.3,0.42,0.132,39162,0.76,Dem,Rep
Shannon County,MO,8317,0.187,97.7,0.379,0.151,32404,0.76,Dem,Rep
Shelby County,MO,6179,0.198,98.5,0.464,0.131,39087,0.78,Dem,Rep
Stoddard County,MO,29837,0.189,94.5,0.399,0.137,38203,0.83,Dem,Rep
Stone County,MO,31375,0.264,95.9,0.401,0.163,40510,0.8,Dem,Rep
Sullivan County,MO,6512,0.183,102.8,0.473,0.128,40197,0.76,Dem,Rep
Taney County,MO,53555,0.191,94.3,0.355,0.183,38357,0.78,Dem,Rep
Texas County,MO,25735,0.19,106.9,0.438,0.13,35088,0.81,Dem,Rep
Vernon County,MO,20878,0.175,93.6,0.41,0.163,40693,0.76,Dem,Rep
Warren County,MO,33043,0.162,100.8,0.37,0.159,51133,0.7,Dem,Rep
Washington County,MO,25048,0.147,106.5,0.42,0.072,35305,0.76,Dem,Rep
Wayne County,MO,13397,0.217,99.3,0.366,0.107,33750,0.81,Dem,Rep
Webster County,MO,36690,0.143,103.8,0.405,0.157,44451,0.77,Dem,Rep
Worth County,MO,2082,0.24,96.2,0.423,0.175,45952,0.77,Dem,Rep
Wright County,MO,18449,0.182,97.1,0.408,0.124,29778,0.83,Dem,Rep
St. Louis city,MO,317850,0.112,93.6,0.236,0.319,35599,0.16,Dem,Rep
Beaverhead County,MT,9291,0.193,103.1,0.301,0.302,41512,0.69,Dem,Rep
Big Horn County,MT,13141,0.108,99.3,0.349,0.156,41622,0.44,Dem,Rep
Blaine County,MT,6598,0.143,99.2,0.281,0.203,36744,0.48,Dem,Rep
Broadwater County,MT,5692,0.197,104.1,0.391,0.239,50115,0.75,Dem,Rep
Carbon County,MT,10268,0.218,100.2,0.284,0.292,49767,0.63,Dem,Rep
Carter County,MT,1227,0.237,103.1,0.386,0.156,45000,0.87,Dem,Rep
Cascade County,MT,82090,0.166,100.3,0.318,0.255,45205,0.57,Dem,Rep
Chouteau County,MT,5855,0.178,99.3,0.345,0.233,38521,0.65,Dem,Rep
Custer County,MT,11945,0.184,99.3,0.293,0.2,48750,0.71,Dem,Rep
Daniels County,MT,1758,0.264,102.8,0.312,0.222,49239,0.77,Dem,Rep
Dawson County,MT,9365,0.17,110.9,0.356,0.188,52738,0.77,Dem,Rep
Deer Lodge County,MT,9211,0.201,115.9,0.387,0.168,39399,0.42,Dem,Rep
Fallon County,MT,3057,0.165,105.3,0.376,0.162,53266,0.87,Dem,Rep
Fergus County,MT,11468,0.224,102.6,0.356,0.281,40881,0.73,Dem,Rep
Flathead County,MT,93333,0.165,99.6,0.299,0.291,47851,0.65,Dem,Rep
Gallatin County,MT,95323,0.107,106.3,0.2,0.479,55553,0.45,Dem,Rep
Garfield County,MT,1047,0.243,90.7,0.444,0.148,39732,0.91,Dem,Rep
Glacier County,MT,13672,0.109,95.3,0.378,0.177,29640,0.32,Dem,Rep
Golden Valley County,MT,756,0.198,92.9,0.428,0.203,40938,0.78,Dem,Rep
Granite County,MT,3168,0.283,105.4,0.36,0.258,48512,0.67,Dem,Rep
Hill County,MT,16523,0.136,102.8,0.283,0.232,44633,0.54,Dem,Rep
Jefferson County,MT,11502,0.175,107.7,0.286,0.327,60842,0.63,Dem,Rep
Judith Basin County,MT,1997,0.225,108.9,0.377,0.299,44602,0.73,Dem,Rep
Lake County,MT,29157,0.189,96.8,0.314,0.244,38732,0.58,Dem,Rep
Lewis and Clark County,MT,65357,0.153,98.8,0.237,0.38,56197,0.49,Dem,Rep
Liberty County,MT,2369,0.221,95.9,0.221,0.216,47768,0.73,Dem,Rep
Lincoln County,MT,19337,0.238,100.9,0.336,0.194,35275,0.73,Dem,Rep
McCone County,MT,1728,0.231,115.2,0.459,0.175,40750,0.81,Dem,Rep
Madison County,MT,7767,0.247,110.8,0.359,0.265,46250,0.7,Dem,Rep
Meagher County,MT,1898,0.214,90.8,0.397,0.234,41641,0.75,Dem,Rep
Mineral County,MT,4238,0.257,101.3,0.418,0.131,36031,0.67,Dem,Rep
Missoula County,MT,111966,0.13,101.2,0.227,0.407,46164,0.38,Dem,Rep
Musselshell County,MT,4790,0.208,99.5,0.402,0.168,39517,0.82,Dem,Rep
Park County,MT,15708,0.189,101.1,0.331,0.351,43932,0.54,Dem,Rep
Petroleum County,MT,443,0.177,110,0.525,0.206,43750,0.87,Dem,Rep
Phillips County,MT,4167,0.208,100.2,0.373,0.193,36071,0.8,Dem,Rep
Pondera County,MT,6206,0.195,97.8,0.33,0.221,42264,0.66,Dem,Rep
Powder River County,MT,1703,0.249,97.3,0.294,0.244,46346,0.84,Dem,Rep
Powell County,MT,6975,0.181,162.5,0.37,0.193,40000,0.73,Dem,Rep
Prairie County,MT,1372,0.269,114.7,0.464,0.157,42383,0.81,Dem,Rep
Ravalli County,MT,40823,0.218,98.4,0.339,0.243,39480,0.67,Dem,Rep
Richland County,MT,11132,0.135,104.9,0.385,0.165,65084,0.81,Dem,Rep
Roosevelt County,MT,11072,0.107,100.3,0.388,0.135,32974,0.49,Dem,Rep
Rosebud County,MT,9352,0.13,95.4,0.327,0.198,51159,0.66,Dem,Rep
Sanders County,MT,11346,0.25,106.3,0.419,0.165,32257,0.73,Dem,Rep
Sheridan County,MT,3630,0.213,102.5,0.304,0.213,50664,0.68,Dem,Rep
Silver Bow County,MT,34549,0.167,103.1,0.349,0.247,37749,0.39,Dem,Rep
Stillwater County,MT,9288,0.19,102.6,0.372,0.237,58259,0.75,Dem,Rep
Sweet Grass County,MT,3633,0.221,95.2,0.381,0.252,50588,0.76,Dem,Rep
Teton County,MT,6074,0.218,98.3,0.343,0.233,46360,0.68,Dem,Rep
Toole County,MT,5150,0.151,132.9,0.366,0.134,44804,0.74,Dem,Rep
Treasure County,MT,812,0.204,113.7,0.351,0.19,41103,0.79,Dem,Rep
Valley County,MT,7577,0.211,100.7,0.378,0.193,49141,0.7,Dem,Rep
Wheatland County,MT,2115,0.248,105.7,0.364,0.181,32723,0.75,Dem,Rep
Wibaux County,MT,986,0.271,96.8,0.374,0.2,38553,0.86,Dem,Rep
Yellowstone County,MT,153692,0.15,96.5,0.312,0.285,52802,0.6,Dem,Rep
Adams County,NE,31442,0.164,101.4,0.32,0.229,50635,0.7,Rep,Rep
Antelope County,NE,6486,0.218,99.1,0.331,0.177,45609,0.84,Rep,Rep
Arthur County,NE,448,0.186,99.1,0.241,0.326,39375,0.9,Rep,Rep
Banner County,NE,820,0.173,94.8,0.293,0.174,48897,0.91,Rep,Rep
Blaine County,NE,551,0.156,113.6,0.396,0.183,48875,0.87,Rep,Rep
Boone County,NE,5373,0.214,98.8,0.423,0.166,50306,0.8,Rep,Rep
Box Butte County,NE,11310,0.156,102.9,0.338,0.159,51691,0.75,Rep,Rep
Boyd County,NE,2039,0.26,102.5,0.415,0.181,40224,0.86,Rep,Rep
Brown County,NE,3078,0.245,91.1,0.412,0.164,36078,0.87,Rep,Rep
Buffalo County,NE,47958,0.126,99.2,0.256,0.327,53624,0.7,Rep,Rep
Burt County,NE,6647,0.237,97,0.392,0.17,47429,0.67,Rep,Rep
Butler County,NE,8256,0.202,101.7,0.399,0.152,51027,0.78,Rep,Rep
Cass County,NE,25360,0.156,100.8,0.321,0.251,65619,0.67,Rep,Rep
Cedar County,NE,8675,0.212,102.7,0.406,0.177,52250,0.81,Rep,Rep
Chase County,NE,3897,0.217,94.4,0.332,0.183,52422,0.88,Rep,Rep
Cherry County,NE,5770,0.212,89.6,0.31,0.197,48750,0.85,Rep,Rep
Cheyenne County,NE,10077,0.159,96.9,0.271,0.234,53814,0.79,Rep,Rep
Clay County,NE,6382,0.188,102.2,0.326,0.191,51470,0.8,Rep,Rep
Colfax County,NE,10522,0.134,107.2,0.332,0.133,51367,0.68,Rep,Rep
Cuming County,NE,9078,0.211,98.9,0.389,0.188,50013,0.78,Rep,Rep
Custer County,NE,10802,0.208,98.2,0.328,0.21,46468,0.84,Rep,Rep
Dakota County,NE,20798,0.12,94.4,0.349,0.112,49786,0.55,Rep,Rep
Dawes County,NE,9136,0.173,92.9,0.291,0.332,41038,0.72,Rep,Rep
Dawson County,NE,24069,0.148,101.8,0.334,0.149,48329,0.7,Rep,Rep
Deuel County,NE,1946,0.239,100.8,0.363,0.173,50962,0.83,Rep,Rep
Dixon County,NE,5866,0.187,98.9,0.386,0.183,51223,0.74,Rep,Rep
Dodge County,NE,36725,0.185,95.7,0.368,0.189,49068,0.65,Rep,Rep
Douglas County,NE,537655,0.111,96.9,0.219,0.371,54659,0.47,Rep,Rep
Dundy County,NE,2015,0.221,107.7,0.325,0.197,42500,0.87,Rep,Rep
Fillmore County,NE,5697,0.229,98.1,0.391,0.185,52316,0.73,Rep,Rep
Franklin County,NE,3105,0.251,101.2,0.371,0.187,45905,0.81,Rep,Rep
Frontier County,NE,2573,0.21,103.1,0.347,0.183,49634,0.84,Rep,Rep
Furnas County,NE,4887,0.23,94.6,0.337,0.173,39934,0.83,Rep,Rep
Gage County,NE,21818,0.203,97.9,0.346,0.196,50010,0.64,Rep,Rep
Garden County,NE,1823,0.265,95.6,0.325,0.235,45845,0.82,Rep,Rep
Garfield County,NE,1933,0.276,97,0.395,0.162,43179,0.85,Rep,Rep
Gosper County,NE,1976,0.2,92,0.348,0.194,54375,0.79,Rep,Rep
Grant County,NE,769,0.22,104,0.423,0.204,44750,0.93,Rep,Rep
Greeley County,NE,2476,0.235,99.7,0.398,0.144,42904,0.78,Rep,Rep
Hall County,NE,60792,0.138,100.2,0.325,0.183,49252,0.66,Rep,Rep
Hamilton County,NE,9100,0.175,100,0.318,0.253,59311,0.77,Rep,Rep
Harlan County,NE,3458,0.243,111.2,0.376,0.161,46766,0.82,Rep,Rep
Hayes County,NE,1084,0.233,120.3,0.267,0.197,44500,0.92,Rep,Rep
Hitchcock County,NE,2879,0.234,104.5,0.374,0.151,39231,0.84,Rep,Rep
Holt County,NE,10398,0.206,98.2,0.34,0.209,46728,0.86,Rep,Rep
Hooker County,NE,681,0.359,94.6,0.341,0.231,37317,0.86,Rep,Rep
Howard County,NE,6347,0.199,103.9,0.416,0.192,50030,0.77,Rep,Rep
Jefferson County,NE,7433,0.223,96.1,0.426,0.137,43008,0.7,Rep,Rep
Johnson County,NE,5167,0.172,146.4,0.407,0.147,45429,0.66,Rep,Rep
Kearney County,NE,6549,0.185,97.1,0.325,0.241,51934,0.78,Rep,Rep
Keith County,NE,8146,0.232,100,0.345,0.208,41781,0.81,Rep,Rep
Keya Paha County,NE,711,0.258,107.3,0.423,0.155,38625,0.89,Rep,Rep
Kimball County,NE,3720,0.248,98.6,0.34,0.175,40242,0.81,Rep,Rep
Knox County,NE,8556,0.236,94.7,0.372,0.191,45411,0.78,Rep,Rep
Lancaster County,NE,298080,0.117,100.6,0.226,0.367,51830,0.47,Rep,Rep
Lincoln County,NE,35896,0.167,97.5,0.314,0.199,50194,0.77,Rep,Rep
Logan County,NE,851,0.218,93.8,0.287,0.22,48281,0.89,Rep,Rep
Loup County,NE,548,0.246,98.6,0.415,0.187,55417,0.85,Rep,Rep
McPherson County,NE,433,0.2,106.2,0.284,0.245,54306,0.9,Rep,Rep
Madison County,NE,35111,0.154,98.1,0.293,0.203,50218,0.75,Rep,Rep
Merrick County,NE,7776,0.197,96.9,0.345,0.168,51012,0.79,Rep,Rep
Morrill County,NE,4874,0.184,104.5,0.323,0.178,45910,0.83,Rep,Rep
Nance County,NE,3639,0.199,98.5,0.381,0.165,42500,0.79,Rep,Rep
Nemaha County,NE,7168,0.18,94.4,0.349,0.278,49656,0.68,Rep,Rep
Nuckolls County,NE,4391,0.26,98.1,0.421,0.174,40488,0.79,Rep,Rep
Otoe County,NE,15842,0.193,98,0.377,0.215,50275,0.66,Rep,Rep
Pawnee County,NE,2726,0.26,102.8,0.453,0.163,41161,0.74,Rep,Rep
Perkins County,NE,2924,0.211,97.6,0.311,0.221,55893,0.85,Rep,Rep
Phelps County,NE,9216,0.195,99.6,0.33,0.227,50404,0.83,Rep,Rep
Pierce County,NE,7184,0.183,102.3,0.36,0.205,54482,0.85,Rep,Rep
Platte County,NE,32642,0.154,103.2,0.31,0.201,56318,0.77,Rep,Rep
Polk County,NE,5271,0.201,99.7,0.325,0.197,57312,0.8,Rep,Rep
Red Willow County,NE,10946,0.188,100.3,0.364,0.177,42931,0.83,Rep,Rep
Richardson County,NE,8201,0.23,99.1,0.397,0.207,42750,0.73,Rep,Rep
Rock County,NE,1401,0.245,94,0.417,0.181,48456,0.87,Rep,Rep
Saline County,NE,14360,0.143,107.5,0.347,0.141,51738,0.59,Rep,Rep
Sarpy County,NE,169192,0.098,99.9,0.225,0.368,70543,0.57,Rep,Rep
Saunders County,NE,20913,0.167,102.2,0.33,0.246,60854,0.71,Rep,Rep
Scotts Bluff County,NE,36684,0.175,93.2,0.3,0.215,45992,0.72,Rep,Rep
Seward County,NE,16998,0.163,104.6,0.295,0.261,59662,0.7,Rep,Rep
Sheridan County,NE,5294,0.241,97.1,0.311,0.246,41985,0.85,Rep,Rep
Sherman County,NE,3107,0.257,97.5,0.423,0.147,46366,0.74,Rep,Rep
Sioux County,NE,1249,0.241,108.9,0.334,0.266,41215,0.85,Rep,Rep
Stanton County,NE,6081,0.15,99.8,0.35,0.183,53416,0.79,Rep,Rep
Thayer County,NE,5182,0.256,97.1,0.37,0.193,45741,0.76,Rep,Rep
Thomas County,NE,675,0.18,111.6,0.321,0.275,51000,0.89,Rep,Rep
Thurston County,NE,6946,0.121,97.6,0.355,0.139,41266,0.5,Rep,Rep
Valley County,NE,4254,0.241,100.2,0.426,0.192,44612,0.81,Rep,Rep
Washington County,NE,20257,0.155,97,0.311,0.297,65370,0.7,Rep,Rep
Wayne County,NE,9425,0.136,105.5,0.205,0.378,54159,0.72,Rep,Rep
Webster County,NE,3697,0.235,94.2,0.361,0.198,40256,0.78,Rep,Rep
Wheeler County,NE,847,0.207,104.1,0.421,0.183,46394,0.82,Rep,Rep
York County,NE,13825,0.184,97.7,0.326,0.261,51802,0.75,Rep,Rep
Churchill County,NV,24252,0.17,104.1,0.35,0.159,47415,0.72,Rep,Swing
Clark County,NV,2035572,0.127,100.4,0.288,0.227,51575,0.42,Rep,Swing
Douglas County,NV,47259,0.233,101.1,0.247,0.252,58535,0.62,Rep,Swing
Elko County,NV,51562,0.09,109.5,0.268,0.182,71799,0.73,Rep,Swing
Esmeralda County,NV,1141,0.261,83.7,0.432,0.157,39271,0.78,Rep,Swing
Eureka County,NV,1669,0.145,91.4,0.358,0.223,60250,0.85,Rep,Swing
Humboldt County,NV,17067,0.099,110.8,0.374,0.137,65212,0.7,Rep,Swing
Lander County,NV,5946,0.137,119,0.375,0.075,78190,0.76,Rep,Swing
Lincoln County,NV,5194,0.194,122,0.321,0.203,44866,0.78,Rep,Swing
Lyon County,NV,51657,0.188,101.3,0.302,0.166,47255,0.67,Rep,Swing
Mineral County,NV,4566,0.225,114.1,0.312,0.113,38923,0.59,Rep,Swing
Nye County,NV,42625,0.266,98.8,0.356,0.132,41712,0.68,Rep,Swing
Pershing County,NV,6722,0.145,196.5,0.354,0.124,45230,0.71,Rep,Swing
Storey County,NV,3929,0.264,91.9,0.295,0.214,64832,0.63,Rep,Swing
Washoe County,NV,435019,0.14,101.2,0.24,0.287,52870,0.45,Rep,Swing
White Pine County,NV,9974,0.148,131,0.345,0.14,57122,0.72,Rep,Swing
Carson City,NV,54482,0.184,105.4,0.286,0.208,47668,0.52,Rep,Swing
Belknap County,NH,60399,0.189,95.9,0.315,0.296,62159,0.56,Dem,Swing
Carroll County,NH,47513,0.235,99.6,0.314,0.321,53306,0.5,Dem,Swing
Cheshire County,NH,76430,0.166,94.6,0.338,0.316,57782,0.41,Dem,Swing
Coos County,NH,31870,0.214,103.7,0.391,0.178,42312,0.52,Dem,Swing
Grafton County,NH,89341,0.173,97.1,0.286,0.381,55762,0.38,Dem,Swing
Hillsborough County,NH,403972,0.134,98.2,0.272,0.358,71244,0.47,Dem,Swing
Merrimack County,NH,147262,0.154,96.9,0.284,0.344,65983,0.46,Dem,Swing
Rockingham County,NH,299006,0.145,97.8,0.269,0.388,81198,0.51,Dem,Swing
Strafford County,NH,125273,0.133,95.2,0.28,0.341,60711,0.43,Dem,Swing
Sullivan County,NH,43135,0.181,96.5,0.37,0.265,56032,0.49,Dem,Swing
Atlantic County,NJ,275376,0.154,93.7,0.329,0.251,54461,0.45,Rep,Dem
Bergen County,NJ,926330,0.157,93.7,0.243,0.469,85806,0.43,Rep,Dem
Burlington County,NJ,450556,0.151,96.8,0.295,0.357,78621,0.41,Rep,Dem
Camden County,NJ,511998,0.139,93.5,0.313,0.302,62185,0.32,Rep,Dem
Cape May County,NJ,95805,0.233,94.8,0.341,0.299,57637,0.58,Rep,Dem
Cumberland County,NJ,157035,0.134,106.4,0.394,0.146,49984,0.46,Rep,Dem
Essex County,NJ,791609,0.121,92.4,0.287,0.327,53976,0.21,Rep,Dem
Gloucester County,NJ,290298,0.136,94.5,0.343,0.293,76727,0.48,Rep,Dem
Hudson County,NJ,662619,0.106,98.7,0.261,0.375,59741,0.23,Rep,Dem
Hunterdon County,NJ,126250,0.151,99.3,0.227,0.487,105444,0.55,Rep,Dem
Mercer County,NJ,370212,0.135,95.8,0.256,0.396,72804,0.3,Rep,Dem
Middlesex County,NJ,830300,0.131,96.8,0.263,0.41,79593,0.39,Rep,Dem
Monmouth County,NJ,629185,0.151,94.8,0.256,0.425,85242,0.53,Rep,Dem
Morris County,NJ,498192,0.151,96,0.225,0.509,100214,0.5,Rep,Dem
Ocean County,NJ,583450,0.217,92.4,0.361,0.268,61994,0.66,Rep,Dem
Passaic County,NJ,507574,0.129,94.8,0.348,0.26,59739,0.38,Rep,Dem
Salem County,NJ,65120,0.166,94.6,0.386,0.204,61831,0.56,Rep,Dem
Somerset County,NJ,330604,0.137,95.2,0.219,0.525,100667,0.42,Rep,Dem
Sussex County,NJ,145930,0.14,98.4,0.31,0.338,86565,0.63,Rep,Dem
Union County,NJ,548744,0.129,94.9,0.297,0.326,69594,0.31,Rep,Dem
Warren County,NJ,107226,0.153,94.6,0.34,0.299,70471,0.61,Rep,Dem
Bernalillo County,NM,673943,0.136,96.3,0.238,0.327,47725,0.35,Rep,Dem
Catron County,NM,3583,0.327,113.4,0.363,0.26,42973,0.72,Rep,Dem
Chaves County,NM,65811,0.144,99,0.27,0.181,40630,0.64,Rep,Dem
Cibola County,NM,27382,0.143,101.9,0.365,0.12,34565,0.4,Rep,Dem
Colfax County,NM,12997,0.225,100.4,0.339,0.214,32380,0.49,Rep,Dem
Curry County,NM,50497,0.113,106.9,0.252,0.208,41084,0.67,Rep,Dem
De Baca County,NM,2020,0.203,81.5,0.429,0.097,32500,0.68,Rep,Dem
Dona Ana County,NM,213963,0.137,96.9,0.22,0.277,38853,0.36,Rep,Dem
Eddy County,NM,55641,0.139,103.1,0.34,0.178,56618,0.67,Rep,Dem
Grant County,NM,29119,0.234,97.6,0.269,0.262,38311,0.42,Rep,Dem
Guadalupe County,NM,4526,0.203,137.5,0.402,0.135,30772,0.33,Rep,Dem
Harding County,NM,565,0.251,107,0.391,0.255,33393,0.59,Rep,Dem
Hidalgo County,NM,4643,0.184,99.3,0.31,0.143,34444,0.49,Rep,Dem
Lea County,NM,68149,0.106,105.6,0.305,0.133,57533,0.71,Rep,Dem
Lincoln County,NM,19931,0.252,98.7,0.266,0.284,40708,0.66,Rep,Dem
Los Alamos County,NM,17939,0.166,104.8,0.108,0.642,101934,0.32,Rep,Dem
Luna County,NM,24789,0.204,99.3,0.316,0.121,27476,0.48,Rep,Dem
McKinley County,NM,73998,0.103,93.1,0.331,0.111,28772,0.24,Rep,Dem
Mora County,NM,4660,0.22,91.5,0.356,0.139,23822,0.27,Rep,Dem
Otero County,NM,65318,0.158,104.5,0.295,0.164,39775,0.6,Rep,Dem
Quay County,NM,8698,0.233,94.1,0.388,0.155,29113,0.62,Rep,Dem
Rio Arriba County,NM,39949,0.159,96.6,0.318,0.167,36098,0.24,Rep,Dem
Roosevelt County,NM,19908,0.122,102.5,0.253,0.231,35546,0.66,Rep,Dem
Sandoval County,NM,136638,0.144,96.6,0.259,0.285,58982,0.42,Rep,Dem
San Juan County,NM,125133,0.124,98.3,0.321,0.152,48671,0.61,Rep,Dem
San Miguel County,NM,28668,0.174,98.6,0.284,0.2,29237,0.22,Rep,Dem
Santa Fe County,NM,147108,0.185,95,0.214,0.401,54315,0.2,Rep,Dem
Sierra County,NM,11615,0.339,100.5,0.337,0.176,29356,0.58,Rep,Dem
Socorro County,NM,17494,0.16,108.8,0.334,0.176,34037,0.38,Rep,Dem
Taos County,NM,32943,0.209,95.3,0.254,0.286,36582,0.18,Rep,Dem
Torrance County,NM,15853,0.169,108.7,0.342,0.166,32083,0.59,Rep,Dem
Union County,NM,4339,0.191,126.3,0.353,0.171,36070,0.72,Rep,Dem
Valencia County,NM,76297,0.146,100.9,0.319,0.165,41703,0.48,Rep,Dem
Albany County,NY,307463,0.149,93.8,0.265,0.385,59887,0.35,Dem,Dem
Allegany County,NY,48070,0.163,102.3,0.387,0.2,42776,0.68,Dem,Dem
Bronx County,NY,1428357,0.111,89,0.273,0.189,34299,0.1,Dem,Dem
Broome County,NY,198093,0.172,96.7,0.322,0.272,46261,0.49,Dem,Dem
Cattaraugus County,NY,78962,0.166,98,0.409,0.178,42601,0.64,Dem,Dem
Cayuga County,NY,79173,0.166,105.1,0.341,0.213,52082,0.54,Dem,Dem
Chautauqua County,NY,132646,0.177,98.4,0.355,0.208,42993,0.6,Dem,Dem
Chemung County,NY,88267,0.163,98.4,0.356,0.235,50320,0.57,Dem,Dem
Chenango County,NY,49549,0.182,99.2,0.392,0.174,45668,0.61,Dem,Dem
Clinton County,NY,81685,0.147,106.4,0.353,0.221,49930,0.46,Dem,Dem
Columbia County,NY,62195,0.202,100.9,0.307,0.292,59105,0.47,Dem,Dem
Cortland County,NY,49043,0.147,95.2,0.347,0.236,49514,0.5,Dem,Dem
Delaware County,NY,46901,0.213,100.6,0.387,0.202,43720,0.62,Dem,Dem
Dutchess County,NY,296928,0.149,98.9,0.27,0.334,71904,0.48,Dem,Dem
Erie County,NY,921584,0.163,93.7,0.284,0.315,51247,0.45,Dem,Dem
Essex County,NY,38912,0.201,108.9,0.345,0.241,52758,0.48,Dem,Dem
Franklin County,NY,51280,0.145,122.7,0.362,0.177,47923,0.5,Dem,Dem
Fulton County,NY,54606,0.174,99.4,0.385,0.162,46969,0.65,Dem,Dem
Genesee County,NY,59458,0.168,99.2,0.372,0.2,50880,0.65,Dem,Dem
Greene County,NY,48312,0.193,107.2,0.363,0.206,50278,0.61,Dem,Dem
Hamilton County,NY,4760,0.259,102.2,0.323,0.245,48243,0.67,Dem,Dem
Herkimer County,NY,64034,0.182,97.4,0.345,0.224,46229,0.65,Dem,Dem
Jefferson County,NY,118947,0.116,108.4,0.335,0.208,49505,0.58,Dem,Dem
Kings County,NY,2595259,0.119,90,0.262,0.329,48201,0.18,Dem,Dem
Lewis County,NY,27124,0.163,102.3,0.453,0.152,49819,0.67,Dem,Dem
Livingston County,NY,64801,0.153,100.4,0.337,0.236,51734,0.61,Dem,Dem
Madison County,NY,72427,0.154,96.9,0.337,0.263,54145,0.54,Dem,Dem
Monroe County,NY,749356,0.15,93.5,0.25,0.362,52553,0.4,Dem,Dem
Montgomery County,NY,49779,0.173,96.9,0.366,0.161,43764,0.61,Dem,Dem
Nassau County,NY,1354612,0.16,94.1,0.242,0.429,99465,0.46,Dem,Dem
New York County,NY,1629507,0.141,89.5,0.126,0.6,72871,0.1,Dem,Dem
Niagara County,NY,214150,0.168,94.7,0.351,0.233,49449,0.57,Dem,Dem
Oneida County,NY,233558,0.171,99.2,0.334,0.233,48246,0.58,Dem,Dem
Onondaga County,NY,468304,0.149,93.4,0.262,0.341,55092,0.41,Dem,Dem
Ontario County,NY,109192,0.172,96.3,0.283,0.317,57416,0.51,Dem,Dem
Orange County,NY,375384,0.121,100.2,0.293,0.291,70848,0.51,Dem,Dem
Orleans County,NY,42204,0.157,99,0.398,0.154,46359,0.69,Dem,Dem
Oswego County,NY,121183,0.137,100.3,0.399,0.176,47860,0.59,Dem,Dem
Otsego County,NY,61399,0.179,94.8,0.345,0.277,48588,0.53,Dem,Dem
Putnam County,NY,99488,0.141,99.4,0.273,0.379,96148,0.57,Dem,Dem
Queens County,NY,2301139,0.133,94.1,0.273,0.304,57720,0.22,Dem,Dem
Rensselaer County,NY,159900,0.147,97.5,0.29,0.286,60709,0.48,Dem,Dem
Richmond County,NY,472481,0.141,93.8,0.32,0.308,73197,0.57,Dem,Dem
Rockland County,NY,320688,0.144,96.2,0.23,0.403,84855,0.46,Dem,Dem
St. Lawrence County,NY,112011,0.15,103.6,0.361,0.223,44705,0.52,Dem,Dem
Saratoga County,NY,223774,0.152,97.3,0.259,0.39,71496,0.49,Dem,Dem
Schenectady County,NY,154796,0.153,94.5,0.3,0.305,58114,0.44,Dem,Dem
Schoharie County,NY,31913,0.178,99.9,0.385,0.196,51195,0.64,Dem,Dem
Schuyler County,NY,18410,0.187,101.2,0.389,0.195,47680,0.61,Dem,Dem
Seneca County,NY,35144,0.167,111.5,0.346,0.202,49292,0.53,Dem,Dem
Steuben County,NY,98665,0.172,98.2,0.376,0.213,47280,0.65,Dem,Dem
Suffolk County,NY,1501373,0.148,97,0.293,0.34,88663,0.52,Dem,Dem
Sullivan County,NY,76330,0.162,104.4,0.34,0.222,50710,0.55,Dem,Dem
Tioga County,NY,50199,0.173,97.6,0.359,0.244,57514,0.61,Dem,Dem
Tompkins County,NY,103855,0.118,97,0.198,0.508,52624,0.26,Dem,Dem
Ulster County,NY,181300,0.167,98.9,0.302,0.301,58918,0.43,Dem,Dem
Warren County,NY,65180,0.191,96.3,0.333,0.282,56798,0.52,Dem,Dem
Washington County,NY,62700,0.167,107.4,0.416,0.194,51143,0.57,Dem,Dem
Wayne County,NY,92416,0.16,97.9,0.37,0.206,50798,0.6,Dem,Dem
Westchester County,NY,967315,0.153,93.3,0.203,0.468,83958,0.32,Dem,Dem
Wyoming County,NY,41446,0.15,118.1,0.408,0.151,52564,0.73,Dem,Dem
Yates County,NY,25187,0.179,95,0.345,0.237,49510,0.58,Dem,Dem
Alamance County,NC,155258,0.156,91.1,0.285,0.216,41814,0.55,Rep,Swing
Alexander County,NC,37158,0.177,105.1,0.394,0.132,39365,0.77,Rep,Swing
Alleghany County,NC,10911,0.227,98.6,0.337,0.173,36968,0.73,Rep,Swing
Anson County,NC,26135,0.156,110.1,0.416,0.098,33228,0.43,Rep,Swing
Ashe County,NC,27114,0.223,97.6,0.315,0.187,36267,0.71,Rep,Swing
Avery County,NC,17695,0.196,120.6,0.305,0.19,37777,0.77,Rep,Swing
Beaufort County,NC,47561,0.209,90.9,0.332,0.173,40391,0.61,Rep,Swing
Bertie County,NC,20518,0.192,103.4,0.403,0.1,30027,0.37,Rep,Swing
Bladen County,NC,34720,0.176,90.5,0.332,0.137,30096,0.54,Rep,Swing
Brunswick County,NC,115926,0.257,94.6,0.273,0.261,46859,0.63,Rep,Swing
Buncombe County,NC,247336,0.175,92.7,0.247,0.359,45167,0.41,Rep,Swing
Burke County,NC,89548,0.176,98.8,0.298,0.172,39360,0.68,Rep,Swing
